School District,County,State,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Allegany County Public School District,Allegany, MD,"$115,000 ","$115,000 ",100%,100.00%,109,109,100%,0,5.7
Anne Arundel County Public School District,Anne Arundel, MD,"$390,000 ","$390,000 ",100%,100.00%,59,59,100%,0,7.1
Baltimore County Public School District,Baltimore, MD,"$250,000 ","$250,000 ",100%,100.00%,53,53,100%,0,6.3
Baltimore County Public School District,Baltimore city, MD,"$250,000 ","$229,000 ",109%,100.00%,51,55,93%,-4,6.7
Anne Arundel County Public School District,Baltimore city, MD,"$200,000 ","$229,000 ",87%,94.74%,70,55,127%,15,5.6
Calvert County Public School District,Calvert, MD,"$339,000 ","$340,000 ",100%,100.00%,65,65,100%,0,8.5
Carroll County Public School District,Carroll, MD,"$310,000 ","$310,000 ",100%,100.00%,54,54,100%,0,8
Cecil County Public School District,Cecil, MD,"$230,000 ","$230,000 ",100%,100.00%,73,73,100%,0,5.2
Charles County Public School District,Charles, MD,"$300,000 ","$300,000 ",100%,100.00%,67,67,100%,0,6.1
Carroll County Public School District,Frederick, MD,"$424,000 ","$330,000 ",128%,124.32%,53,52,101%,1,8
Frederick County Public School District,Frederick, MD,"$320,000 ","$330,000 ",97%,100.00%,52,52,100%,0,7.4
Harford County Public School District,Harford, MD,"$265,000 ","$265,000 ",100%,100.00%,59,59,100%,0,7
Howard County Public School District,Howard, MD,"$470,000 ","$470,000 ",100%,100.00%,44,44,99%,0,8.2
Kent County Public Schools,Kent, MD,"$249,000 ","$230,000 ",108%,95.45%,117,109,108%,8,3
Montgomery County Public School District,Montgomery, MD,"$490,000 ","$490,000 ",100%,100.00%,45,45,100%,0,7.2
Prince George's County Public School District,Prince George's, MD,"$280,000 ","$280,000 ",100%,100.00%,51,51,100%,0,4
Queen Anne's County Public School District,Queen Anne's, MD,"$390,000 ","$390,000 ",100%,100.00%,78,78,100%,0,7.5
St. Mary's County Public School District,St. Mary's, MD,"$299,000 ","$299,000 ",100%,100.00%,75,75,100%,0,6.4
Washington County Public School District,Washington, MD,"$200,000 ","$200,000 ",100%,100.00%,67,67,100%,0,6.5
Wicomico County Public School District,Wicomico, MD,"$160,000 ","$160,000 ",100%,100.00%,93,93,100%,0,5.4
Worcester County Public School District,Worcester, MD,"$285,000 ","$285,000 ",100%,100.00%,119,119,100%,0,8.7
